id,code,parent_id/id,name,user_type/id,type,reconcile,child_consol_ids
acc_reg_1010103,1010103,acc_reg_10101,Diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - derivanti dall'attività di ricerca (al netto del F.do Amm.to),account.data_account_type_view,view,FALSE,
acc_reg_101010301,101010301,acc_reg_1010103,Diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - derivanti dall'attività di ricerca,account.data_account_type_view,view,FALSE,AAA080
acc_reg_10101030101,10101030101,acc_reg_101010301,Diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - derivanti dall'attività di ricerca,account.data_account_type_asset,other,FALSE,
acc_reg_101010302,101010302,acc_reg_1010103,F.do Amm.to diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - derivanti dall'attività di ricerca,account.data_account_type_view,view,FALSE,AAA090
acc_reg_10101030202,10101030202,acc_reg_101010302,F.do Amm.to diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - derivanti dall'attività di ricerca,account.data_account_type_asset,other,FALSE,
acc_reg_1010104,1010104,acc_reg_10101,Diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - altri (al netto del F.do Amm.to),account.data_account_type_view,view,FALSE,
acc_reg_101010401,101010401,acc_reg_1010104,Diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - altri,account.data_account_type_view,view,FALSE,AAA100
acc_reg_10101040101,10101040101,acc_reg_101010401,Diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - altri,account.data_account_type_asset,other,FALSE,
acc_reg_101010402,101010402,acc_reg_1010104,F.do Amm.to diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - altri,account.data_account_type_view,view,FALSE,AAA110
acc_reg_10101040202,10101040202,acc_reg_101010402,F.do Amm.to diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - altri,account.data_account_type_asset,other,FALSE,
acc_reg_1010105,1010105,acc_reg_10101,Immobilizzazioni immateriali in corso e acconti,account.data_account_type_view,view,FALSE,
acc_reg_101010501,101010501,acc_reg_1010105,Immobilizzazioni immateriali in corso e acconti,account.data_account_type_view,view,FALSE,AAA120
acc_reg_10101050101,10101050101,acc_reg_101010501,Immobilizzazioni immateriali in corso e acconti,account.data_account_type_asset,other,FALSE,
acc_reg_1010106,1010106,acc_reg_10101,"Concessioni, licenze, marchi e diritti simili (al netto del F.do Amm.to)",account.data_account_type_view,view,FALSE,
acc_reg_101010601,101010601,acc_reg_1010106,"Concessioni, licenze, marchi e diritti simili",account.data_account_type_view,view,FALSE,AAA140
acc_reg_10101060101,10101060101,acc_reg_101010601,"Concessioni, licenze, marchi e diritti simili",account.data_account_type_asset,other,FALSE,
acc_reg_101010602,101010602,acc_reg_1010106,"F.do Amm.to concessioni, licenze, marchi e diritti simili",account.data_account_type_view,view,FALSE,AAA150
acc_reg_10101060202,10101060202,acc_reg_101010602,"F.do Amm.to concessioni, licenze, marchi e diritti simili",account.data_account_type_asset,other,FALSE,
acc_reg_1010107,1010107,acc_reg_10101,Migliorie su beni di terzi (al netto del F.do Amm.to),account.data_account_type_view,view,FALSE,
acc_reg_101010701,101010701,acc_reg_1010107,Migliorie su beni di terzi,account.data_account_type_view,view,FALSE,AAA160
acc_reg_10101070101,10101070101,acc_reg_101010701,Migliorie su beni di terzi,account.data_account_type_asset,other,FALSE,
acc_reg_101010702,101010702,acc_reg_1010107,F.do Amm.to migliorie su beni di terzi,account.data_account_type_view,view,FALSE,AAA170
acc_reg_10101070202,10101070202,acc_reg_101010702,F.do Amm.to migliorie su beni di terzi,account.data_account_type_asset,other,FALSE,
acc_reg_1010108,1010108,acc_reg_10101,Pubblicità (al netto del F.do Amm.to),account.data_account_type_view,view,FALSE,
acc_reg_101010801,101010801,acc_reg_1010108,Pubblicità,account.data_account_type_view,view,FALSE,AAA180
acc_reg_10101080101,10101080101,acc_reg_101010801,Pubblicità,account.data_account_type_asset,other,FALSE,
acc_reg_101010802,101010802,acc_reg_1010108,F.do Amm.to pubblicità,account.data_account_type_view,view,FALSE,AAA190
acc_reg_10101080202,10101080202,acc_reg_101010802,F.do Amm.to pubblicità,account.data_account_type_asset,other,FALSE,
acc_reg_1010109,1010109,acc_reg_10101,Altre immobilizzazioni immateriali (al netto del F.do Amm.to),account.data_account_type_view,view,FALSE,
acc_reg_101010901,101010901,acc_reg_1010109,Altre immobilizzazioni immateriali,account.data_account_type_view,view,FALSE,AAA200
acc_reg_10101090101,10101090101,acc_reg_101010901,Altre immobilizzazioni immateriali,account.data_account_type_asset,other,FALSE,
acc_reg_101010902,101010902,acc_reg_1010109,F.do Amm.to altre immobilizzazioni immateriali,account.data_account_type_view,view,FALSE,AAA210
acc_reg_10101090202,10101090202,acc_reg_101010902,F.do Amm.to altre immobilizzazioni immateriali,account.data_account_type_asset,other,FALSE,
acc_reg_1010110,1010110,acc_reg_10101,F.do Svalut. Immobilizzazioni immaterali,account.data_account_type_view,view,FALSE,
acc_reg_101011001,101011001,acc_reg_1010110,F.do Svalut. Costi di impianto e di ampliamento,account.data_account_type_view,view,FALSE,AAA230
acc_reg_10101100101,10101100101,acc_reg_101011001,F.do Svalut. Costi di impianto e di ampliamento,account.data_account_type_asset,other,FALSE,
acc_reg_101011002,101011002,acc_reg_1010110,F.do Svalut. Costi di ricerca e sviluppo,account.data_account_type_view,view,FALSE,AAA240
acc_reg_10101100202,10101100202,acc_reg_101011002,F.do Svalut. Costi di ricerca e sviluppo,account.data_account_type_asset,other,FALSE,
acc_reg_101011003,101011003,acc_reg_1010110,F.do Svalut. Diritti di brevetto e diritti di utilizzazione delle opere d'ingegno,account.data_account_type_view,view,FALSE,AAA250
acc_reg_10101100303,10101100303,acc_reg_101011003,F.do Svalut. Diritti di brevetto e diritti di utilizzazione delle opere d'ingegno,account.data_account_type_asset,other,FALSE,
acc_reg_101011004,101011004,acc_reg_1010110,F.do Svalut. Altre immobilizzazioni immateriali,account.data_account_type_view,view,FALSE,AAA260
acc_reg_10101100404,10101100404,acc_reg_101011004,F.do Svalut. Altre immobilizzazioni immateriali,account.data_account_type_asset,other,FALSE,
acc_reg_10102,10102,acc_reg_101,IMMOBILIZZAZIONI MATERIALI,account.data_account_type_view,view,FALSE,
acc_reg_1010201,1010201,acc_reg_10102,Terreni,account.data_account_type_view,view,FALSE,
acc_reg_101020101,101020101,acc_reg_1010201,Terreni disponibili,account.data_account_type_view,view,FALSE,AAA290
acc_reg_10102010101,10102010101,acc_reg_101020101,Terreni disponibili,account.data_account_type_asset,other,FALSE,
acc_reg_101020102,101020102,acc_reg_1010201,Terreni indisponibili,account.data_account_type_view,view,FALSE,AAA300
acc_reg_10102010202,10102010202,acc_reg_101020102,Terreni indisponibili,account.data_account_type_asset,other,FALSE,
acc_reg_1010202,1010202,acc_reg_10102,Fabbricati disponibili non strumentali (al netto del F.do Amm.to),account.data_account_type_view,view,FALSE,
acc_reg_101020201,101020201,acc_reg_1010202,Fabbricati non strumentali (disponibili),account.data_account_type_view,view,FALSE,AAA330
acc_reg_10102020101,10102020101,acc_reg_101020201,Fabbricati non strumentali (disponibili),account.data_account_type_asset,other,FALSE,
acc_reg_101020202,101020202,acc_reg_1010202,F.do Amm.to Fabbricati non strumentali (disponibili),account.data_account_type_view,view,FALSE,AAA340
acc_reg_10102020202,10102020202,acc_reg_101020202,F.do Amm.to Fabbricati non strumentali (disponibili),account.data_account_type_asset,other,FALSE,
acc_reg_1010203,1010203,acc_reg_10102,Fabbricati indisponibili strumentali (al netto del F.do Amm.to),account.data_account_type_view,view,FALSE,
acc_reg_101020301,101020301,acc_reg_1010203,Fabbricati strumentali (indisponibili),account.data_account_type_view,view,FALSE,AAA360
acc_reg_10102030101,10102030101,acc_reg_101020301,Fabbricati strumentali (indisponibili),account.data_account_type_asset,other,FALSE,
acc_reg_101020302,101020302,acc_reg_1010203,F.do Amm.to Fabbricati strumentali (indisponibili),account.data_account_type_view,view,FALSE,AAA370
acc_reg_10102030202,10102030202,acc_reg_101020302,F.do Amm.to Fabbricati strumentali (indisponibili),account.data_account_type_asset,other,FALSE,
acc_reg_1010204,1010204,acc_reg_10102,Impianti e macchinari (al netto del F.do Amm.to),account.data_account_type_view,view,FALSE,
acc_reg_101020401,101020401,acc_reg_1010204,Impianti sanitari,account.data_account_type_view,view,FALSE,AAA390
acc_reg_10102040101,10102040101,acc_reg_101020401,Impianti sanitari,account.data_account_type_asset,other,FALSE,
acc_reg_101020402,101020402,acc_reg_1010204,Fondo ammortamento impianti sanitari,account.data_account_type_view,view,FALSE,AAA400
acc_reg_10102040202,10102040202,acc_reg_101020402,Fondo ammortamento impianti sanitari,account.data_account_type_asset,other,FALSE,
acc_reg_101020403,101020403,acc_reg_1010204,Impianti generici,account.data_account_type_view,view,FALSE,AAA390
acc_reg_10102040303,10102040303,acc_reg_101020403,Impianti generici,account.data_account_type_asset,other,FALSE,
acc_reg_101020404,101020404,acc_reg_1010204,Fondo ammortamento impianti generici,account.data_account_type_view,view,FALSE,AAA400
acc_reg_10102040404,10102040404,acc_reg_101020404,Fondo ammortamento impianti generici,account.data_account_type_asset,other,FALSE,
acc_reg_101020405,101020405,acc_reg_1010204,Macchinari sanitari,account.data_account_type_view,view,FALSE,AAA390
acc_reg_10102040505,10102040505,acc_reg_101020405,Macchinari sanitari,account.data_account_type_asset,other,FALSE,
acc_reg_101020406,101020406,acc_reg_1010204,Fondo ammortamento macchinari sanitari,account.data_account_type_view,view,FALSE,AAA400
acc_reg_10102040606,10102040606,acc_reg_101020406,Fondo ammortamento macchinari sanitari,account.data_account_type_asset,other,FALSE,
acc_reg_101020407,101020407,acc_reg_1010204,Macchinari generici,account.data_account_type_view,view,FALSE,AAA390
acc_reg_10102040707,10102040707,acc_reg_101020407,Macchinari generici,account.data_account_type_asset,other,FALSE,
acc_reg_101020408,101020408,acc_reg_1010204,Fondo ammortamento macchinari generici,account.data_account_type_view,view,FALSE,AAA400
acc_reg_10102040808,10102040808,acc_reg_101020408,Fondo ammortamento macchinari generici,account.data_account_type_asset,other,FALSE,
acc_reg_101020409,101020409,acc_reg_1010204,Impianti e macchinari < 516 euro,account.data_account_type_view,view,FALSE,AAA390
acc_reg_10102040909,10102040909,acc_reg_101020409,Impianti e macchinari < 516 euro,account.data_account_type_asset,other,FALSE,
acc_reg_1010205,1010205,acc_reg_10102,Attrezzature sanitarie e scientifiche (al netto del F.do Amm.to),account.data_account_type_view,view,FALSE,
acc_reg_101020501,101020501,acc_reg_1010205,Attrezzature sanitarie e scientifiche,account.data_account_type_view,view,FALSE,AAA420
acc_reg_10102050101,10102050101,acc_reg_101020501,Attrezzature sanitarie e scientifiche,account.data_account_type_asset,other,FALSE,
acc_reg_101020502,101020502,acc_reg_1010205,F.do Amm.to Attrezzature sanitarie e scientifiche,account.data_account_type_view,view,FALSE,AAA430
acc_reg_10102050202,10102050202,acc_reg_101020502,F.do Amm.to Attrezzature sanitarie e scientifiche,account.data_account_type_asset,other,FALSE,
acc_reg_101020503,101020503,acc_reg_1010205,Attrezzature generiche,account.data_account_type_view,view,FALSE,AAA420
acc_reg_10102050303,10102050303,acc_reg_101020503,Attrezzature generiche,account.data_account_type_asset,other,FALSE,
acc_reg_101020504,101020504,acc_reg_1010205,F.do Amm.to Attrezzature generiche,account.data_account_type_view,view,FALSE,AAA430
acc_reg_10102050404,10102050404,acc_reg_101020504,F.do Amm.to Attrezzature generiche,account.data_account_type_asset,other,FALSE,
acc_reg_101020505,101020505,acc_reg_1010205,Attrezzature sanitarie e scientifiche < 516 euro,account.data_account_type_view,view,FALSE,AAA420
acc_reg_10102050505,10102050505,acc_reg_101020505,Attrezzature sanitarie e scientifiche < 516 euro,account.data_account_type_asset,other,FALSE,
acc_reg_1010206,1010206,acc_reg_10102,Mobili e arredi (al netto del F.do Amm.to),account.data_account_type_view,view,FALSE,
acc_reg_101020601,101020601,acc_reg_1010206,Mobili e arredi,account.data_account_type_view,view,FALSE,AAA450
acc_reg_10102060101,10102060101,acc_reg_101020601,Mobili e arredi,account.data_account_type_asset,other,FALSE,
acc_reg_101020602,101020602,acc_reg_1010206,F.do Amm.to Mobili e arredi,account.data_account_type_view,view,FALSE,AAA460
acc_reg_10102060202,10102060202,acc_reg_101020602,F.do Amm.to Mobili e arredi,account.data_account_type_asset,other,FALSE,
acc_reg_101020603,101020603,acc_reg_1010206,Mobili d'ufficio,account.data_account_type_view,view,FALSE,AAA450
acc_reg_10102060303,10102060303,acc_reg_101020603,Mobili d'ufficio,account.data_account_type_asset,other,FALSE,
acc_reg_101020604,101020604,acc_reg_1010206,F.do Amm.to Mobili d'ufficio,account.data_account_type_view,view,FALSE,AAA460
acc_reg_10102060404,10102060404,acc_reg_101020604,F.do Amm.to Mobili d'ufficio,account.data_account_type_asset,other,FALSE,
acc_reg_101020605,101020605,acc_reg_1010206,Mobili d'ufficio < 516 euro,account.data_account_type_view,view,FALSE,AAA450
acc_reg_10102060505,10102060505,acc_reg_101020605,Mobili d'ufficio < 516 euro,account.data_account_type_asset,other,FALSE,
acc_reg_1010207,1010207,acc_reg_10102,Automezzi e altri mezzi di trasporto (al netto del F.do Amm.to),account.data_account_type_view,view,FALSE,
acc_reg_101020701,101020701,acc_reg_1010207,Elicotteri,account.data_account_type_view,view,FALSE,AAA480
acc_reg_10102070101,10102070101,acc_reg_101020701,Elicotteri,account.data_account_type_asset,other,FALSE,
acc_reg_101020702,101020702,acc_reg_1010207,F.do Amm.to Elicotteri,account.data_account_type_view,view,FALSE,AAA490
acc_reg_10102070202,10102070202,acc_reg_101020702,F.do Amm.to Elicotteri,account.data_account_type_asset,other,FALSE,
acc_reg_101020703,101020703,acc_reg_1010207,Ambulanze utilizzate per servizio 118,account.data_account_type_view,view,FALSE,AAA480
acc_reg_10102070303,10102070303,acc_reg_101020703,Ambulanze utilizzate per servizio 118,account.data_account_type_asset,other,FALSE,
acc_reg_101020704,101020704,acc_reg_1010207,F.do Amm.to Ambulanze utilizzate per servizio 118,account.data_account_type_view,view,FALSE,AAA490
acc_reg_10102070404,10102070404,acc_reg_101020704,F.do Amm.to Ambulanze utilizzate per servizio 118,account.data_account_type_asset,other,FALSE,
acc_reg_101020705,101020705,acc_reg_1010207,Altre ambulanze,account.data_account_type_view,view,FALSE,AAA480
acc_reg_10102070505,10102070505,acc_reg_101020705,Altre ambulanze,account.data_account_type_asset,other,FALSE,
acc_reg_101020706,101020706,acc_reg_1010207,F.do Amm.to Altre ambulanze,account.data_account_type_view,view,FALSE,AAA490
acc_reg_10102070606,10102070606,acc_reg_101020706,F.do Amm.to Altre ambulanze,account.data_account_type_asset,other,FALSE,
acc_reg_101020707,101020707,acc_reg_1010207,Altri mezzi di trasporto,account.data_account_type_view,view,FALSE,AAA480
acc_reg_10102070707,10102070707,acc_reg_101020707,Altri mezzi di trasporto,account.data_account_type_asset,other,FALSE,
acc_reg_101020708,101020708,acc_reg_1010207,F.do Amm.to Altri mezzi di trasporto,account.data_account_type_view,view,FALSE,AAA490
acc_reg_10102070808,10102070808,acc_reg_101020708,F.do Amm.to Altri mezzi di trasporto,account.data_account_type_asset,other,FALSE,
acc_reg_1010208,1010208,acc_reg_10102,Oggetti d'arte,account.data_account_type_view,view,FALSE,
acc_reg_101020801,101020801,acc_reg_1010208,Oggetti d'arte,account.data_account_type_view,view,FALSE,AAA500
acc_reg_10102080101,10102080101,acc_reg_101020801,Oggetti d'arte,account.data_account_type_asset,other,FALSE,
acc_reg_1010209,1010209,acc_reg_10102,Altre immobilizzazioni materiali (al netto del F.do Amm.to),account.data_account_type_view,view,FALSE,
acc_reg_101020901,101020901,acc_reg_1010209,Altre immobilizzazioni materiali,account.data_account_type_view,view,FALSE,AAA520
acc_reg_10102090101,10102090101,acc_reg_101020901,Altre immobilizzazioni materiali,account.data_account_type_asset,other,FALSE,
acc_reg_101020902,101020902,acc_reg_1010209,F.do Amm.to Altre immobilizzazioni materiali,account.data_account_type_view,view,FALSE,AAA530
acc_reg_10102090202,10102090202,acc_reg_101020902,F.do Amm.to Altre immobilizzazioni materiali,account.data_account_type_asset,other,FALSE,
acc_reg_101020903,101020903,acc_reg_1010209,Altri beni < 516 euro,account.data_account_type_view,view,FALSE,AAA520
acc_reg_10102090303,10102090303,acc_reg_101020903,Altri beni < 516 euro,account.data_account_type_asset,other,FALSE,
acc_reg_1010210,1010210,acc_reg_10102,Immobilizzazioni materiali in corso e acconti,account.data_account_type_view,view,FALSE,
acc_reg_101021001,101021001,acc_reg_1010210,Immobilizzazioni materiali in corso,account.data_account_type_view,view,FALSE,AAA540
acc_reg_10102100101,10102100101,acc_reg_101021001,Immobilizzazioni materiali in corso,account.data_account_type_asset,other,FALSE,
acc_reg_101021002,101021002,acc_reg_1010210,Costi per versamenti a fornitori di anticipi per l'acquisizione di immobilizzazioni materiali in corso,account.data_account_type_view,view,FALSE,AAA540
acc_reg_10102100202,10102100202,acc_reg_101021002,Costi per versamenti a fornitori di anticipi per l'acquisizione di immobilizzazioni materiali in corso,account.data_account_type_asset,other,FALSE,
acc_reg_1010211,1010211,acc_reg_10102,F.do Svalut. Immobilizzazioni materali,account.data_account_type_view,view,FALSE,
acc_reg_101021101,101021101,acc_reg_1010211,F.do Svalut. Terreni,account.data_account_type_view,view,FALSE,AAA560
acc_reg_10102110101,10102110101,acc_reg_101021101,F.do Svalut. Terreni,account.data_account_type_asset,other,FALSE,
acc_reg_101021102,101021102,acc_reg_1010211,F.do Svalut. Fabbricati,account.data_account_type_view,view,FALSE,AAA570
acc_reg_10102110202,10102110202,acc_reg_101021102,F.do Svalut. Fabbricati,account.data_account_type_asset,other,FALSE,
acc_reg_101021103,101021103,acc_reg_1010211,F.do Svalut. Impianti e macchinari,account.data_account_type_view,view,FALSE,AAA580
acc_reg_10102110303,10102110303,acc_reg_101021103,F.do Svalut. Impianti e macchinari,account.data_account_type_asset,other,FALSE,
acc_reg_101021104,101021104,acc_reg_1010211,F.do Svalut. Attrezzature sanitarie e scientifiche,account.data_account_type_view,view,FALSE,AAA590
acc_reg_10102110404,10102110404,acc_reg_101021104,F.do Svalut. Attrezzature sanitarie e scientifiche,account.data_account_type_asset,other,FALSE,
acc_reg_101021105,101021105,acc_reg_1010211,F.do Svalut. Mobili e arredi,account.data_account_type_view,view,FALSE,AAA600
acc_reg_10102110505,10102110505,acc_reg_101021105,F.do Svalut. Mobili e arredi,account.data_account_type_asset,other,FALSE,
acc_reg_101021106,101021106,acc_reg_1010211,F.do Svalut. Automezzi,account.data_account_type_view,view,FALSE,AAA610
acc_reg_10102110606,10102110606,acc_reg_101021106,F.do Svalut. Automezzi,account.data_account_type_asset,other,FALSE,
acc_reg_101021107,101021107,acc_reg_1010211,F.do Svalut. Oggetti d'arte,account.data_account_type_view,view,FALSE,AAA620
acc_reg_10102110707,10102110707,acc_reg_101021107,F.do Svalut. Oggetti d'arte,account.data_account_type_asset,other,FALSE,
acc_reg_101021108,101021108,acc_reg_1010211,F.do Svalut. Altre immobilizzazioni materiali,account.data_account_type_view,view,FALSE,AAA630
acc_reg_10102110808,10102110808,acc_reg_101021108,F.do Svalut. Altre immobilizzazioni materiali,account.data_account_type_asset,other,FALSE,
acc_reg_10103,10103,acc_reg_101,IMMOBILIZZAZIONI FINANZIARIE,account.data_account_type_view,view,FALSE,
acc_reg_1010301,1010301,acc_reg_10103,Crediti finanziari v/Stato,account.data_account_type_view,view,FALSE,
acc_reg_101030101,101030101,acc_reg_1010301,Crediti finanziari v/Stato,account.data_account_type_view,view,FALSE,AAA660
acc_reg_10103010101,10103010101,acc_reg_101030101,Crediti finanziari v/Stato,account.data_account_type_asset,other,FALSE,
acc_reg_1010302,1010302,acc_reg_10103,Crediti finanziari v/Regione,account.data_account_type_view,view,FALSE,
acc_reg_101030201,101030201,acc_reg_1010302,Crediti finanziari v/Regione,account.data_account_type_view,view,FALSE,AAA670
acc_reg_10103020101,10103020101,acc_reg_101030201,Crediti finanziari v/Regione,account.data_account_type_asset,other,FALSE,
acc_reg_1010303,1010303,acc_reg_10103,Crediti finanziari v/partecipate,account.data_account_type_view,view,FALSE,
acc_reg_101030301,101030301,acc_reg_1010303,Crediti finanziari v/imprese controllate,account.data_account_type_view,view,FALSE,AAA680
acc_reg_10103030101,10103030101,acc_reg_101030301,Crediti finanziari v/imprese controllate,account.data_account_type_asset,other,FALSE,
acc_reg_101030302,101030302,acc_reg_1010303,Crediti finanziari v/imprese collegate,account.data_account_type_view,view,FALSE,AAA680
acc_reg_10103030202,10103030202,acc_reg_101030302,Crediti finanziari v/imprese collegate,account.data_account_type_asset,other,FALSE,
acc_reg_1010304,1010304,acc_reg_10103,Crediti finanziari v/altri,account.data_account_type_view,view,FALSE,
acc_reg_101030401,101030401,acc_reg_1010304,Crediti finanziari v/Provincia,account.data_account_type_view,view,FALSE,AAA690
acc_reg_10103040101,10103040101,acc_reg_101030401,Crediti finanziari v/Provincia,account.data_account_type_asset,other,FALSE,
acc_reg_101030402,101030402,acc_reg_1010304,Crediti finanziari v/Comuni,account.data_account_type_view,view,FALSE,AAA690
acc_reg_10103040202,10103040202,acc_reg_101030402,Crediti finanziari v/Comuni,account.data_account_type_asset,other,FALSE,
acc_reg_101030403,101030403,acc_reg_1010304,Crediti finanziari v/altri,account.data_account_type_view,view,FALSE,AAA690
acc_reg_10103040303,10103040303,acc_reg_101030403,Crediti finanziari v/altri,account.data_account_type_asset,other,FALSE,
acc_reg_101030404,101030404,acc_reg_1010304,Depositi cauzionali,account.data_account_type_view,view,FALSE,AAA690
acc_reg_10103040404,10103040404,acc_reg_101030404,Depositi cauzionali,account.data_account_type_asset,other,FALSE,
acc_reg_101030405,101030405,acc_reg_1010304,Fondo svalutazione crediti,account.data_account_type_view,view,FALSE,AAA690
acc_reg_10103040505,10103040505,acc_reg_101030405,Fondo svalutazione crediti,account.data_account_type_asset,other,FALSE,
acc_reg_1010305,1010305,acc_reg_10103,Partecipazioni,account.data_account_type_view,view,FALSE,
acc_reg_101030501,101030501,acc_reg_1010305,Partecipazioni in imprese controllate,account.data_account_type_view,view,FALSE,AAA710
acc_reg_10103050101,10103050101,acc_reg_101030501,Partecipazioni in imprese controllate,account.data_account_type_asset,other,FALSE,
acc_reg_101030502,101030502,acc_reg_1010305,Partecipazioni in imprese collegate,account.data_account_type_view,view,FALSE,AAA710
acc_reg_10103050202,10103050202,acc_reg_101030502,Partecipazioni in imprese collegate,account.data_account_type_asset,other,FALSE,
acc_reg_101030503,101030503,acc_reg_1010305,Partecipazioni in altre imprese,account.data_account_type_view,view,FALSE,AAA710
acc_reg_10103050303,10103050303,acc_reg_101030503,Partecipazioni in altre imprese,account.data_account_type_asset,other,FALSE,
acc_reg_1010306,1010306,acc_reg_10103,Altri titoli,account.data_account_type_view,view,FALSE,
acc_reg_101030601,101030601,acc_reg_1010306,Titoli di Stato,account.data_account_type_view,view,FALSE,AAA730
acc_reg_10103060101,10103060101,acc_reg_101030601,Titoli di Stato,account.data_account_type_asset,other,FALSE,
acc_reg_101030602,101030602,acc_reg_1010306,Altre Obbligazioni,account.data_account_type_view,view,FALSE,AAA740
acc_reg_10103060202,10103060202,acc_reg_101030602,Altre Obbligazioni,account.data_account_type_asset,other,FALSE,
acc_reg_101030603,101030603,acc_reg_1010306,Titoli azionari quotati in Borsa,account.data_account_type_view,view,FALSE,AAA750
acc_reg_10103060303,10103060303,acc_reg_101030603,Titoli azionari quotati in Borsa,account.data_account_type_asset,other,FALSE,
acc_reg_101030604,101030604,acc_reg_1010306,Titoli diversi,account.data_account_type_view,view,FALSE,AAA760
acc_reg_10103060404,10103060404,acc_reg_101030604,Titoli diversi,account.data_account_type_asset,other,FALSE,
acc_reg_102,102,acc_reg_1,ATTIVO CIRCOLANTE,account.data_account_type_view,view,FALSE,
acc_reg_10201,10201,acc_reg_102,RIMANENZE,account.data_account_type_view,view,FALSE,
acc_reg_1020101,1020101,acc_reg_10201,Rim. Prodotti farmaceutici ed emoderivati,account.data_account_type_view,view,FALSE,
acc_reg_102010101,102010101,acc_reg_1020101,Rim. Medicinali - con AIC,account.data_account_type_view,view,FALSE,ABA020
acc_reg_10201010101,10201010101,acc_reg_102010101,Rim. Medicinali - con AIC,account.data_account_type_asset,other,FALSE,
acc_reg_102010102,102010102,acc_reg_1020101,Rim. Medicinali ed emoderivati in DPC - con AIC,account.data_account_type_view,view,FALSE,ABA020
acc_reg_10201010202,10201010202,acc_reg_102010102,Rim. Medicinali ed emoderivati in DPC - con AIC,account.data_account_type_asset,other,FALSE,
acc_reg_102010103,102010103,acc_reg_1020101,Rim. Radiofarmaci - con AIC,account.data_account_type_view,view,FALSE,ABA020
acc_reg_10201010303,10201010303,acc_reg_102010103,Rim. Radiofarmaci - con AIC,account.data_account_type_asset,other,FALSE,
acc_reg_102010104,102010104,acc_reg_1020101,Rim. Stupefacenti - con AIC,account.data_account_type_view,view,FALSE,ABA020
acc_reg_10201010404,10201010404,acc_reg_102010104,Rim. Stupefacenti - con AIC,account.data_account_type_asset,other,FALSE,
